Name,Year,Correct Year,Miles,Price,Brand,Model
Chevrolet Trax,2020,2020,"34,680.00","$19,990",Chevrolet,Trax
Chevrolet Equinox,2019,2019,"42,197.00","$21,990",Chevrolet,Equinox
Chrysler Pacifica,2018,2018,"67,400.00","$24,990",Chrysler,Pacifica
Honda Civic,2012,2012,"104,955.00","$13,990",Honda,Civic
Lexus IS,2014,2014,"64,311.00","$23,590",Lexus,IS
Nissan Murano,2018,2018,"44,834.00","$23,990",Nissan,Murano
Subaru Impreza,2017,2017,"99,558.00","$16,990",Subaru,Impreza
MINI Hardtop  Door,20152,2015,"36,134.00","$17,590",MINI,Hardtop  Door
Subaru Legacy,2013,2013,"54,606.00","$16,590",Subaru,Legacy
MAZDA CX-,202130,2021,"50,801.00","$22,590",MAZDA,CX-
Chevrolet Volt,2018,2018,"61,688.00","$21,990",Chevrolet,Volt
Hyundai Kona,2021,2021,"16,030.00","$24,990",Hyundai,Kona
Toyota Camry,2015,2015,"46,874.00","$18,990",Toyota,Camry
Hyundai Elantra,2021,2021,"26,507.00","$22,990",Hyundai,Elantra
Subaru Impreza,2013,2013,"30,092.00","$17,990",Subaru,Impreza
MINI Coupe,2015,2015,"32,968.00","$19,590",MINI,Coupe
Mitsubishi Mirage G,20204,2020,"40,536.00","$15,990",Mitsubishi,Mirage G
Chrysler Voyager,2021,2021,"74,312.00","$22,990",Chrysler,Voyager
Mercedes-Benz SLK-Class,2011,2011,"30,836.00","$24,590",Mercedes-Benz,SLK-Class
Toyota Prius v,2014,2014,"85,050.00","$17,990",Toyota,Prius v
Volkswagen Tiguan,2018,2018,"45,077.00","$20,590",Volkswagen,Tiguan
Nissan Versa,2013,2013,"82,983.00","$12,590",Nissan,Versa
Jeep Compass,2018,2018,"52,909.00","$20,990",Jeep,Compass
MAZDA CX-,20165,2016,"57,429.00","$19,590",MAZDA,CX-
Toyota Camry,2014,2014,"81,961.00","$16,590",Toyota,Camry
MAZDA MAZDA,20153,2015,"50,194.00","$19,590",MAZDA,MAZDA
Volkswagen Passat,2015,2015,"103,569.00","$15,990",Volkswagen,Passat
FIAT  Abarth,2014500,2014,"60,169.00","$15,590",FIAT, Abarth
Ford Explorer,2018,2018,"82,144.00","$24,590",Ford,Explorer
Hyundai Sonata,2016,2016,"103,913.00","$13,990",Hyundai,Sonata
Nissan LEAF,2015,2015,"27,590.00","$15,990",Nissan,LEAF
Honda Accord,2014,2014,"38,422.00","$19,990",Honda,Accord
Subaru Legacy,2016,2016,"29,116.00","$22,990",Subaru,Legacy
Jeep Renegade,2015,2015,"93,583.00","$16,590",Jeep,Renegade
Jeep Cherokee,2019,2019,"49,525.00","$22,990",Jeep,Cherokee
Ford Fusion,2017,2017,"35,538.00","$20,990",Ford,Fusion
FIAT X,2016500,2016,"35,194.00","$20,590",FIAT,X
Ford EcoSport,2018,2018,"63,245.00","$16,990",Ford,EcoSport
MAZDA CX-,20215,2021,"47,026.00","$23,590",MAZDA,CX-
Kia Forte,2021,2021,"23,592.00","$21,990",Kia,Forte
Kia Cadenza,2014,2014,"24,248.00","$20,990",Kia,Cadenza
MAZDA MAZDA,20103,2010,"86,312.00","$12,990",MAZDA,MAZDA
Jeep Cherokee,2019,2019,"49,525.00","$22,990",Jeep,Cherokee
MINI Convertible,2015,2015,"59,250.00","$18,990",MINI,Convertible
Chevrolet Spark,2020,2020,"31,686.00","$16,990",Chevrolet,Spark
MAZDA MAZDA,20156,2015,"80,916.00","$16,590",MAZDA,MAZDA
MAZDA CX-,20215,2021,"47,026.00","$23,590",MAZDA,CX-
Chevrolet Equinox,2013,2013,"81,283.00","$14,990",Chevrolet,Equinox
Chrysler Pacifica,2017,2017,"89,376.00","$23,590",Chrysler,Pacifica
Jeep Cherokee,2017,2017,"32,660.00","$19,990",Jeep,Cherokee
Ford Fusion,2017,2017,"96,104.00","$15,990",Ford,Fusion
Lexus IS,2013,2013,"74,431.00","$19,590",Lexus,IS
Mitsubishi Outlander Sport,2020,2020,"51,245.00","$20,590",Mitsubishi,Outlander Sport
Honda Civic,2016,2016,"25,144.00","$22,990",Honda,Civic
Toyota Corolla,2015,2015,"65,137.00","$17,590",Toyota,Corolla
Dodge Avenger,2013,2013,"103,547.00","$12,990",Dodge,Avenger
Buick Encore,2020,2020,"48,653.00","$20,590",Buick,Encore
Honda Civic,2015,2015,"56,763.00","$17,590",Honda,Civic
FIAT X,2017500,2017,"77,736.00","$16,590",FIAT,X
Hyundai Kona,2020,2020,"36,118.00","$23,990",Hyundai,Kona
Nissan Altima,2016,2016,"96,183.00","$14,590",Nissan,Altima
Volkswagen Jetta,2013,2013,"70,662.00","$14,990",Volkswagen,Jetta
Chevrolet Camaro,2016,2016,"63,738.00","$23,990",Chevrolet,Camaro
Volkswagen Beetle,2014,2014,"100,210.00","$15,990",Volkswagen,Beetle
Hyundai Tucson,2019,2019,"40,323.00","$22,990",Hyundai,Tucson
Buick LaCrosse,2010,2010,"100,275.00","$12,590",Buick,LaCrosse
Ford Escape,2018,2018,"69,258.00","$19,990",Ford,Escape
Ford Focus,2017,2017,"32,998.00","$16,990",Ford,Focus
Toyota Corolla,2011,2011,"56,347.00","$15,990",Toyota,Corolla
Chevrolet Volt,2013,2013,"44,561.00","$17,590",Chevrolet,Volt
Volvo S,201040,2010,"54,050.00","$14,990",Volvo,S
Ford Focus,2018,2018,"19,760.00","$19,590",Ford,Focus
Buick Encore,2017,2017,"64,277.00","$17,990",Buick,Encore
GMC Acadia,2015,2015,"51,641.00","$24,990",GMC,Acadia
Kia Soul,2018,2018,"67,669.00","$16,590",Kia,Soul
Hyundai Tucson,2020,2020,"49,048.00","$21,590",Hyundai,Tucson
Dodge Journey,2019,2019,"36,205.00","$22,990",Dodge,Journey
Toyota Yaris iA,2017,2017,"59,826.00","$16,990",Toyota,Yaris iA
Volkswagen Jetta,2020,2020,"17,483.00","$21,990",Volkswagen,Jetta
Honda Fit,2011,2011,"82,794.00","$14,990",Honda,Fit
Chevrolet Trax,2015,2015,"47,798.00","$16,990",Chevrolet,Trax
Kia Forte,2019,2019,"16,520.00","$20,990",Kia,Forte
Jeep Cherokee,2016,2016,"62,317.00","$18,990",Jeep,Cherokee
Volkswagen Passat,2013,2013,"54,383.00","$17,590",Volkswagen,Passat
Hyundai Sonata,2013,2013,"74,193.00","$14,590",Hyundai,Sonata
Toyota Sienna,2013,2013,"95,008.00","$18,990",Toyota,Sienna
Toyota Camry,2012,2012,"53,611.00","$17,990",Toyota,Camry
Chevrolet Equinox,2019,2019,"63,340.00","$20,590",Chevrolet,Equinox
Hyundai Tucson,2019,2019,"60,025.00","$20,990",Hyundai,Tucson
Chevrolet Spark,2017,2017,"70,606.00","$13,990",Chevrolet,Spark
Hyundai Kona,2020,2020,"41,301.00","$23,990",Hyundai,Kona
Ford Edge,2018,2018,"50,483.00","$20,990",Ford,Edge
Toyota Prius,2012,2012,"87,907.00","$16,590",Toyota,Prius
Chrysler,2013300,2013,53150,18990,,#VALUE!
GMC Terrain,2018,2018,"60,237.00","$22,990",GMC,Terrain
Nissan Maxima,2017,2017,"63,526.00","$23,990",Nissan,Maxima
Volkswagen Passat,2015,2015,"47,818.00","$17,990",Volkswagen,Passat
Chevrolet Camaro,2016,2016,"63,738.00","$23,990",Chevrolet,Camaro
Volkswagen Beetle,2014,2014,"100,210.00","$15,990",Volkswagen,Beetle
Dodge Grand Caravan Passenger,2019,2019,"86,459.00","$18,590",Dodge,Grand Caravan Passenger
Hyundai Tucson,2019,2019,"40,323.00","$22,990",Hyundai,Tucson
Buick LaCrosse,2010,2010,"100,275.00","$12,590",Buick,LaCrosse
Ford Escape,2018,2018,"69,258.00","$19,990",Ford,Escape
Ford Focus,2017,2017,"32,998.00","$16,990",Ford,Focus
Toyota Corolla,2011,2011,"56,347.00","$15,990",Toyota,Corolla
Chevrolet Volt,2013,2013,"44,561.00","$17,590",Chevrolet,Volt
Chrysler Pacifica,2018,2018,"61,971.00","$24,990",Chrysler,Pacifica
Honda Accord,2014,2014,"44,590.00","$19,990",Honda,Accord
Hyundai Elantra,2013,2013,"81,781.00","$13,990",Hyundai,Elantra
Nissan Altima,2015,2015,"46,030.00","$16,590",Nissan,Altima
Ford Mustang,2018,2018,"81,441.00","$22,990",Ford,Mustang
Toyota Camry,2014,2014,"81,961.00","$16,590",Toyota,Camry
Hyundai Sonata,2016,2016,"103,913.00","$13,990",Hyundai,Sonata
Subaru Forester,2014,2014,"91,222.00","$17,990",Subaru,Forester
Nissan Versa,2013,2013,"82,983.00","$12,590",Nissan,Versa
FIAT  Spider,2017124,2017,"17,223.00","$22,990",FIAT, Spider
Volkswagen Tiguan,2018,2018,"45,077.00","$20,590",Volkswagen,Tiguan
Hyundai Sonata,2017,2017,"84,962.00","$16,590",Hyundai,Sonata
Honda Civic,2014,2014,"100,648.00","$15,990",Honda,Civic
Nissan LEAF,2015,2015,"27,590.00","$15,990",Nissan,LEAF
Nissan Sentra,2021,2021,"11,497.00","$23,590",Nissan,Sentra
Toyota Corolla,2017,2017,"14,100.00","$20,990",Toyota,Corolla
Dodge Grand Caravan Passenger,2016,2016,"86,554.00","$15,990",Dodge,Grand Caravan Passenger
Chrysler,2015200,2015,88509,15590,,#VALUE!
Ford Escape,2014,2014,"102,417.00","$14,990",Ford,Escape
Jeep Renegade,2015,2015,"93,583.00","$16,590",Jeep,Renegade
FIAT,2013500,2013,32155,13990,,#VALUE!
FIAT X,2016500,2016,"35,194.00","$20,590",FIAT,X
Nissan JUKE,2015,2015,"83,708.00","$15,990",Nissan,JUKE
Nissan Sentra,2019,2019,"42,584.00","$17,990",Nissan,Sentra
Ford F Super Cab,2013150,2013,"72,722.00","$24,590",Ford,F Super Cab
Jeep Grand Cherokee,2011,2011,"70,958.00","$18,990",Jeep,Grand Cherokee
Kia Optima,2020,2020,"60,258.00","$19,990",Kia,Optima
Hyundai Tucson,2017,2017,"57,691.00","$19,590",Hyundai,Tucson
Ford Edge,2014,2014,"40,734.00","$18,590",Ford,Edge
Ford Edge,2014,2014,"97,280.00","$16,590",Ford,Edge
Chevrolet Cruze,2014,2014,"54,957.00","$14,990",Chevrolet,Cruze
Honda Fit,2015,2015,"71,159.00","$16,990",Honda,Fit
Ford Escape,2018,2018,"53,392.00","$19,590",Ford,Escape
Chevrolet Cruze,2018,2018,"20,884.00","$19,590",Chevrolet,Cruze
Chevrolet Malibu,2018,2018,"31,465.00","$20,990",Chevrolet,Malibu
Ford Edge,2013,2013,"45,668.00","$16,990",Ford,Edge
Chevrolet Cruze,2013,2013,"90,393.00","$11,990",Chevrolet,Cruze
Toyota Prius c,2014,2014,"75,938.00","$17,590",Toyota,Prius c
Ford Escape,2018,2018,"43,144.00","$20,990",Ford,Escape
Volkswagen Tiguan Limited,2018,2018,"48,794.00","$19,590",Volkswagen,Tiguan Limited
Volkswagen Jetta,2019,2019,"7,043.00","$21,990",Volkswagen,Jetta
MAZDA CX-,20163,2016,"32,223.00","$22,990",MAZDA,CX-
Kia Optima Hybrid,2015,2015,"93,022.00","$16,590",Kia,Optima Hybrid
MAZDA MX- Miata,20125,2012,"28,322.00","$18,990",MAZDA,MX- Miata
Ford Mustang,2018,2018,"50,572.00","$24,990",Ford,Mustang
Toyota Corolla,2016,2016,"39,997.00","$17,990",Toyota,Corolla
Hyundai Elantra,2013,2013,"62,125.00","$14,590",Hyundai,Elantra
Toyota Corolla,2022,2022,"6,877.00","$24,990",Toyota,Corolla
Honda HR-V,2019,2019,"50,696.00","$22,590",Honda,HR-V
GMC Terrain,2017,2017,"63,418.00","$20,990",GMC,Terrain
Ford Fiesta,2019,2019,"57,100.00","$15,590",Ford,Fiesta
Honda Accord,2014,2014,"66,651.00","$17,990",Honda,Accord
Kia Optima,2017,2017,"52,304.00","$19,590",Kia,Optima
MAZDA CX-,20185,2018,"37,309.00","$23,990",MAZDA,CX-
Honda Fit,2015,2015,"39,887.00","$18,590",Honda,Fit
Lexus IS,2011,2011,"85,213.00","$17,990",Lexus,IS
Toyota Corolla,2020,2020,"71,698.00","$21,990",Toyota,Corolla
Toyota C-HR,2018,2018,"7,188.00","$24,590",Toyota,C-HR
Hyundai Veloster,2013,2013,"95,183.00","$13,990",Hyundai,Veloster
Ford Fusion,2013,2013,"27,280.00","$16,590",Ford,Fusion
Kia Sorento,2019,2019,"95,731.00","$18,990",Kia,Sorento
Ford Edge,2019,2019,"43,262.00","$24,990",Ford,Edge
Chevrolet Cruze Limited,2016,2016,"95,259.00","$14,590",Chevrolet,Cruze Limited
Buick Encore,2016,2016,"62,354.00","$16,990",Buick,Encore
Kia Sorento,2020,2020,"50,948.00","$22,990",Kia,Sorento
Jeep Wrangler,2013,2013,"54,647.00","$24,990",Jeep,Wrangler
Nissan LEAF,2015,2015,"48,948.00","$13,990",Nissan,LEAF
Nissan JUKE,2015,2015,"83,708.00","$15,990",Nissan,JUKE
Mercedes-Benz GLA,2016,2016,"52,811.00","$24,590",Mercedes-Benz,GLA
Honda HR-V,2019,2019,"50,696.00","$22,590",Honda,HR-V
Nissan Rogue,2015,2015,"79,605.00","$18,990",Nissan,Rogue
Ford EcoSport,2020,2020,"45,318.00","$19,990",Ford,EcoSport
Jeep Renegade,2016,2016,"60,940.00","$17,590",Jeep,Renegade
Toyota Avalon,2013,2013,"26,331.00","$23,590",Toyota,Avalon
Dodge Charger,2016,2016,"71,244.00","$22,990",Dodge,Charger
Volkswagen Jetta,2013,2013,"70,662.00","$14,990",Volkswagen,Jetta
Cadillac CTS,2012,2012,"46,051.00","$18,990",Cadillac,CTS
Scion FR-S,2016,2016,"51,148.00","$22,990",Scion,FR-S
Ford Fiesta,2019,2019,"57,100.00","$15,590",Ford,Fiesta
Jeep Compass,2017,2017,"47,619.00","$18,590",Jeep,Compass
Honda Civic,2014,2014,"79,870.00","$16,590",Honda,Civic
Chevrolet Cruze Limited,2016,2016,"74,996.00","$14,590",Chevrolet,Cruze Limited
Dodge Grand Caravan Passenger,2017,2017,"104,396.00","$15,990",Dodge,Grand Caravan Passenger
Nissan Maxima,2017,2017,"80,611.00","$23,590",Nissan,Maxima
Jeep Grand Cherokee,2015,2015,"92,096.00","$20,990",Jeep,Grand Cherokee
Chevrolet Equinox,2013,2013,"41,528.00","$16,990",Chevrolet,Equinox
MAZDA CX-,20185,2018,"37,309.00","$23,990",MAZDA,CX-
GMC Acadia,2015,2015,"77,621.00","$22,990",GMC,Acadia
Kia Soul,2018,2018,"31,395.00","$18,990",Kia,Soul
Chevrolet Malibu,2017,2017,"51,483.00","$22,590",Chevrolet,Malibu
Buick Enclave,2015,2015,"57,976.00","$22,590",Buick,Enclave
Kia Sportage,2018,2018,"42,221.00","$19,990",Kia,Sportage
Ford Edge,2014,2014,"92,876.00","$15,990",Ford,Edge
Ford Mustang,2016,2016,"36,364.00","$23,590",Ford,Mustang
Nissan Rogue,2020,2020,"70,998.00","$19,990",Nissan,Rogue
MAZDA MAZDA,20166,2016,"84,297.00","$18,990",MAZDA,MAZDA
Jeep Grand Cherokee,2017,2017,"96,980.00","$21,990",Jeep,Grand Cherokee
Nissan Sentra,2020,2020,"32,111.00","$21,590",Nissan,Sentra
GMC Acadia,2016,2016,"65,719.00","$22,990",GMC,Acadia
Nissan Altima,2020,2020,"51,362.00","$24,990",Nissan,Altima
Chevrolet Captiva Sport,2014,2014,"99,750.00","$13,590",Chevrolet,Captiva Sport
Jeep Grand Cherokee,2015,2015,"92,096.00","$20,990",Jeep,Grand Cherokee
Ford Mustang,2015,2015,"33,187.00","$24,990",Ford,Mustang
Chevrolet Trailblazer,2021,2021,"41,233.00","$24,990",Chevrolet,Trailblazer
Chevrolet Cruze Limited,2016,2016,"71,095.00","$14,990",Chevrolet,Cruze Limited
Nissan Maxima,2017,2017,"80,611.00","$23,590",Nissan,Maxima
Chevrolet Traverse,2016,2016,"77,363.00","$18,990",Chevrolet,Traverse
GMC Terrain,2017,2017,"63,418.00","$20,990",GMC,Terrain
Honda CR-Z,2011,2011,"55,022.00","$15,990",Honda,CR-Z
Nissan Rogue,2016,2016,"51,001.00","$18,990",Nissan,Rogue
Toyota Corolla,2020,2020,"19,145.00","$24,590",Toyota,Corolla
BMW i,20153,2015,"44,100.00","$20,590",BMW,i
Nissan LEAF,2016,2016,"31,043.00","$16,590",Nissan,LEAF
Kia Forte,2015,2015,"54,046.00","$14,590",Kia,Forte
Chevrolet Captiva Sport,2013,2013,"98,615.00","$13,990",Chevrolet,Captiva Sport
GMC Terrain,2017,2017,"45,625.00","$20,590",GMC,Terrain
Acura MDX,2012,2012,"103,261.00","$17,590",Acura,MDX
Acura TLX,2015,2015,"22,825.00","$23,990",Acura,TLX
Hyundai Sonata,2017,2017,"70,055.00","$15,990",Hyundai,Sonata
MAZDA MAZDA,20146,2014,"44,575.00","$18,590",MAZDA,MAZDA
Hyundai Sonata,2017,2017,"81,914.00","$15,990",Hyundai,Sonata
Jeep Renegade,2015,2015,"69,634.00","$17,990",Jeep,Renegade
Ford Edge,2013,2013,"73,013.00","$15,990",Ford,Edge
MAZDA MAZDA,20213,2021,"15,304.00","$22,990",MAZDA,MAZDA
Toyota Camry,2014,2014,"27,972.00","$19,990",Toyota,Camry
Ford Fusion,2020,2020,"19,555.00","$22,990",Ford,Fusion
Kia Niro,2019,2019,"47,208.00","$23,590",Kia,Niro
Honda Civic,2017,2017,"45,639.00","$20,990",Honda,Civic
Honda Civic,2017,2017,"56,289.00","$21,990",Honda,Civic
Acura RLX,2014,2014,"69,882.00","$20,990",Acura,RLX
Nissan Rogue Select,2015,2015,"73,550.00","$15,590",Nissan,Rogue Select
